date,value
28/12/2016,28424
29/12/2016,27197
30/12/2016,24804
31/12/2016,20197
1/1/2017,26185
2/1/2017,28560
3/1/2017,31525
4/1/2017,28955
5/1/2017,35024
6/1/2017,37353
7/1/2017,33233
8/1/2017,30571
9/1/2017,32352
10/1/2017,33550
11/1/2017,35142
12/1/2017,30960
13/1/2017,33266
14/1/2017,34418
15/1/2017,26987
16/1/2017,37466
17/1/2017,32119
18/1/2017,30628
19/1/2017,32362
20/1/2017,30079
21/1/2017,29555
22/1/2017,33041
23/1/2017,37958
24/1/2017,33083
25/1/2017,31990
26/1/2017,32775
27/1/2017,29665
28/1/2017,28045
29/1/2017,55875
30/1/2017,32284
31/1/2017,31334
1/2/2017,30124
2/2/2017,31924
3/2/2017,27526
4/2/2017,24955
5/2/2017,30714
6/2/2017,33347
7/2/2017,37804
8/2/2017,33664
9/2/2017,36645
10/2/2017,29067
11/2/2017,24300
12/2/2017,29004
13/2/2017,32764
14/2/2017,33632
15/2/2017,30330
16/2/2017,30942
17/2/2017,28747
18/2/2017,26708
19/2/2017,26266
20/2/2017,37017
21/2/2017,32837
22/2/2017,36489
23/2/2017,33894
24/2/2017,33952
25/2/2017,28785
26/2/2017,27813
27/2/2017,31283
28/2/2017,30633
1/3/2017,33258
2/3/2017,29234
3/3/2017,28912
4/3/2017,23709
5/3/2017,23970
6/3/2017,31878
7/3/2017,30962
8/3/2017,29290
9/3/2017,28652
10/3/2017,27218
11/3/2017,25319
12/3/2017,26416
13/3/2017,28475
14/3/2017,31696
15/3/2017,31997
16/3/2017,30443
17/3/2017,28411
18/3/2017,23845
19/3/2017,25132
20/3/2017,29705
21/3/2017,26941
22/3/2017,34204
23/3/2017,31416
24/3/2017,30360
25/3/2017,25596
26/3/2017,36487
27/3/2017,35773
28/3/2017,30866
29/3/2017,29235
30/3/2017,30333
31/3/2017,30709
1/4/2017,23762
2/4/2017,24969
3/4/2017,33614
4/4/2017,35923
5/4/2017,31198
6/4/2017,32455
7/4/2017,28156
8/4/2017,24879
9/4/2017,23871
10/4/2017,30624
11/4/2017,33896
12/4/2017,31360
13/4/2017,27592
14/4/2017,31720
15/4/2017,27999
16/4/2017,27037
17/4/2017,31801
18/4/2017,30731
19/4/2017,56682
20/4/2017,32813
21/4/2017,28301
22/4/2017,25124
23/4/2017,24741
24/4/2017,36291
25/4/2017,32177
26/4/2017,30675
27/4/2017,51977
28/4/2017,26987
29/4/2017,23219
30/4/2017,25788
1/5/2017,30580
2/5/2017,30175
3/5/2017,29907
4/5/2017,32716
5/5/2017,32642
6/5/2017,28752
7/5/2017,25898
8/5/2017,39028
9/5/2017,46944
10/5/2017,39860
11/5/2017,46743
12/5/2017,29197
13/5/2017,26105
14/5/2017,28039
15/5/2017,35563
16/5/2017,35443
17/5/2017,35114
18/5/2017,37373
19/5/2017,31868
20/5/2017,30077
21/5/2017,25970
22/5/2017,32100
23/5/2017,35395
24/5/2017,39844
25/5/2017,44889
26/5/2017,39374
27/5/2017,26679
28/5/2017,26758
29/5/2017,32635
30/5/2017,37686
31/5/2017,48219
1/6/2017,43336
2/6/2017,50825
3/6/2017,44143
4/6/2017,44193
5/6/2017,56336
6/6/2017,47989
7/6/2017,47885
8/6/2017,43983
9/6/2017,44776
10/6/2017,42018
11/6/2017,34311
12/6/2017,39694
13/6/2017,41098
14/6/2017,38289
15/6/2017,35351
16/6/2017,39123
17/6/2017,40941
18/6/2017,33112
19/6/2017,38418
20/6/2017,45829
21/6/2017,42424
22/6/2017,54267
23/6/2017,38842
24/6/2017,40668
25/6/2017,46618
26/6/2017,43904
27/6/2017,46568
28/6/2017,52375
29/6/2017,41553
30/6/2017,48456
1/7/2017,37928
2/7/2017,47547
3/7/2017,78839
4/7/2017,82957
5/7/2017,79604
6/7/2017,70436
7/7/2017,55682
8/7/2017,47133
9/7/2017,52715
10/7/2017,60916
11/7/2017,58470
12/7/2017,67336
13/7/2017,72532
14/7/2017,78133
15/7/2017,75974
16/7/2017,77304
17/7/2017,74115
18/7/2017,78235
19/7/2017,83925
20/7/2017,62996
21/7/2017,65973
22/7/2017,60364
23/7/2017,57083
24/7/2017,63076
25/7/2017,78896
26/7/2017,61290
27/7/2017,68910
28/7/2017,77848
29/7/2017,57041
30/7/2017,44213
31/7/2017,62541
1/8/2017,46685
2/8/2017,51019
3/8/2017,49166
4/8/2017,56280
5/8/2017,44482
6/8/2017,42476
7/8/2017,47298
8/8/2017,47995
9/8/2017,46436
10/8/2017,43221
11/8/2017,48098
12/8/2017,43524
13/8/2017,40913
14/8/2017,48547
15/8/2017,49134
16/8/2017,50398
17/8/2017,55424
18/8/2017,51828
19/8/2017,41340
20/8/2017,45547
21/8/2017,61318
22/8/2017,54247
23/8/2017,54941
24/8/2017,38833
25/8/2017,37208
26/8/2017,39073
27/8/2017,40359
28/8/2017,55006
29/8/2017,52121
30/8/2017,48375
31/8/2017,47794
1/9/2017,47939
2/9/2017,40430
3/9/2017,28497
4/9/2017,51281
5/9/2017,52076
6/9/2017,53952
7/9/2017,54945
8/9/2017,48839
9/9/2017,44404
10/9/2017,48150
11/9/2017,56383
12/9/2017,52978
13/9/2017,52552
14/9/2017,52044
15/9/2017,50138
16/9/2017,42710
17/9/2017,42071
18/9/2017,58878
19/9/2017,51861
20/9/2017,51792
21/9/2017,48664
22/9/2017,43914
23/9/2017,39859
24/9/2017,37368
25/9/2017,46807
26/9/2017,50268
27/9/2017,48480
28/9/2017,45651
29/9/2017,43654
30/9/2017,34719
1/10/2017,38835
2/10/2017,46391
3/10/2017,50398
4/10/2017,50115
5/10/2017,57123
6/10/2017,50828
7/10/2017,40829
8/10/2017,39843
9/10/2017,48588
10/10/2017,50863
11/10/2017,46741
12/10/2017,51448
13/10/2017,50295
14/10/2017,42956
15/10/2017,39388
16/10/2017,48393
17/10/2017,52093
18/10/2017,50482
19/10/2017,56418
20/10/2017,44474
21/10/2017,42741
22/10/2017,46446
23/10/2017,50884
24/10/2017,55085
25/10/2017,50914
26/10/2017,48182
27/10/2017,46141
28/10/2017,39823
29/10/2017,39452
30/10/2017,48468
31/10/2017,45963
1/11/2017,45771
2/11/2017,54769
3/11/2017,54387
4/11/2017,43141
5/11/2017,43411
6/11/2017,55505
7/11/2017,55343
8/11/2017,49695
9/11/2017,56215
10/11/2017,59465
11/11/2017,41105
12/11/2017,53562
13/11/2017,56598
14/11/2017,58650
15/11/2017,57976
16/11/2017,61562
17/11/2017,54098
18/11/2017,45065
19/11/2017,48547
20/11/2017,55367
21/11/2017,56693
22/11/2017,136744
23/11/2017,113149
24/11/2017,59697
25/11/2017,42161
26/11/2017,45100
27/11/2017,55855
28/11/2017,54324
29/11/2017,56843
30/11/2017,60249
1/12/2017,58830
2/12/2017,34791
3/12/2017,34841
4/12/2017,52880
5/12/2017,60788
6/12/2017,60358
7/12/2017,55929
8/12/2017,44714
9/12/2017,41348
10/12/2017,40424
11/12/2017,53151
12/12/2017,51780
13/12/2017,57092
14/12/2017,48394
15/12/2017,46097
16/12/2017,48136
17/12/2017,37655
18/12/2017,49015
19/12/2017,55850
20/12/2017,48414
21/12/2017,51137
22/12/2017,45127
23/12/2017,34257
24/12/2017,36708
25/12/2017,49542
26/12/2017,44083
27/12/2017,43075
28/12/2017,51018
29/12/2017,72819
30/12/2017,50169
31/12/2017,42616
1/1/2018,41810
2/1/2018,51362
3/1/2018,56013
4/1/2018,58910
5/1/2018,58239
6/1/2018,41870
7/1/2018,42981
8/1/2018,62887
9/1/2018,60260
10/1/2018,106349
11/1/2018,77030
12/1/2018,53781
13/1/2018,42621
14/1/2018,43990
15/1/2018,59119
16/1/2018,63272
17/1/2018,60159
18/1/2018,64068
19/1/2018,61345
20/1/2018,50553
21/1/2018,46436
22/1/2018,63084
23/1/2018,62758
24/1/2018,61700
25/1/2018,65438
26/1/2018,56792
27/1/2018,48186
28/1/2018,49485
29/1/2018,66609
30/1/2018,77144
31/1/2018,61732
1/2/2018,65803
2/2/2018,59272
3/2/2018,45779
4/2/2018,29872
5/2/2018,76073
6/2/2018,77059
7/2/2018,74939
8/2/2018,75397
9/2/2018,71514
10/2/2018,51208
11/2/2018,52371
12/2/2018,76738
13/2/2018,74967
14/2/2018,66850
15/2/2018,70090
16/2/2018,68310
17/2/2018,56257
18/2/2018,53798
19/2/2018,67406
20/2/2018,72493
21/2/2018,82716
22/2/2018,84685
23/2/2018,68160
24/2/2018,51002
25/2/2018,50945
26/2/2018,69180
27/2/2018,75783
28/2/2018,70345
1/3/2018,66423
2/3/2018,62627
3/3/2018,48492
4/3/2018,53712
5/3/2018,65506
6/3/2018,88644
7/3/2018,76008
8/3/2018,67376
9/3/2018,63935
10/3/2018,52913
11/3/2018,49759
12/3/2018,66045
13/3/2018,70428
14/3/2018,66001
15/3/2018,66800
16/3/2018,60562
17/3/2018,48609
18/3/2018,48808
19/3/2018,64044
20/3/2018,65209
21/3/2018,68532
22/3/2018,71059
23/3/2018,65798
24/3/2018,48873
25/3/2018,51219
26/3/2018,68186
27/3/2018,70345
28/3/2018,68748
29/3/2018,68853
30/3/2018,58890
31/3/2018,51103
1/4/2018,56224
2/4/2018,66957
3/4/2018,70500
4/4/2018,71217
5/4/2018,71640
6/4/2018,65494
7/4/2018,52642
8/4/2018,49394
9/4/2018,67122
10/4/2018,67930
11/4/2018,66601
12/4/2018,88232
13/4/2018,65620
14/4/2018,46493
15/4/2018,50303
16/4/2018,70225
17/4/2018,70814
18/4/2018,67661
19/4/2018,65526
20/4/2018,68599
21/4/2018,53931
22/4/2018,53319
23/4/2018,68490
24/4/2018,68477
25/4/2018,68962
26/4/2018,64760
27/4/2018,56276
28/4/2018,42883
29/4/2018,42861
30/4/2018,51372
1/5/2018,56905
2/5/2018,56834
3/5/2018,64835
4/5/2018,56420
5/5/2018,44898
6/5/2018,43602
7/5/2018,55713
8/5/2018,57836
9/5/2018,54817
10/5/2018,65517
11/5/2018,59600
12/5/2018,40878
13/5/2018,46586
14/5/2018,55193
15/5/2018,59453
16/5/2018,56362
17/5/2018,58871
18/5/2018,59496
19/5/2018,44562
20/5/2018,48197
21/5/2018,57575
22/5/2018,59419
23/5/2018,63881
24/5/2018,72924
25/5/2018,49617
26/5/2018,42533
27/5/2018,43357
28/5/2018,53397
29/5/2018,58201
30/5/2018,69592
31/5/2018,96378
1/6/2018,72946
2/6/2018,58104
3/6/2018,56734
4/6/2018,74785
5/6/2018,130604
6/6/2018,70775
7/6/2018,69192
8/6/2018,64313
9/6/2018,56129
10/6/2018,60222
11/6/2018,71665
12/6/2018,72167
13/6/2018,70514
14/6/2018,68685
15/6/2018,58703
16/6/2018,50098
17/6/2018,52736
18/6/2018,80955
19/6/2018,77413
20/6/2018,83183
21/6/2018,81671
22/6/2018,66745
23/6/2018,72015
24/6/2018,68024
25/6/2018,80403
26/6/2018,81573
27/6/2018,69363
28/6/2018,63678
29/6/2018,66111
30/6/2018,54004
1/7/2018,44552
2/7/2018,61693
3/7/2018,65394
4/7/2018,63630
5/7/2018,74420
6/7/2018,62313
7/7/2018,54111
8/7/2018,51703
9/7/2018,62304
10/7/2018,90831
11/7/2018,71342
12/7/2018,64328
13/7/2018,60919
14/7/2018,49131
15/7/2018,50575
16/7/2018,63715
17/7/2018,71926
18/7/2018,65871
19/7/2018,63196
20/7/2018,64881
21/7/2018,54481
22/7/2018,54784
23/7/2018,70218
24/7/2018,73937
25/7/2018,95611
26/7/2018,96264
27/7/2018,57272
28/7/2018,44523
29/7/2018,44070
30/7/2018,60989
31/7/2018,62339
1/8/2018,63520
2/8/2018,63268
3/8/2018,62227
4/8/2018,46947
5/8/2018,42650
6/8/2018,63159
7/8/2018,67216
8/8/2018,72890
9/8/2018,71460
10/8/2018,71279
11/8/2018,55241
12/8/2018,52774
13/8/2018,66145
14/8/2018,66222
15/8/2018,67895
16/8/2018,61577
17/8/2018,59822
18/8/2018,52645
19/8/2018,58069
20/8/2018,71289
21/8/2018,68729
22/8/2018,67580
23/8/2018,66574
24/8/2018,62847
25/8/2018,51910
26/8/2018,49398
27/8/2018,63821
28/8/2018,63969
29/8/2018,63573
30/8/2018,75250
31/8/2018,77834
1/9/2018,47114
2/9/2018,46875
3/9/2018,67138
4/9/2018,72182
5/9/2018,76418
6/9/2018,79476
7/9/2018,78279
8/9/2018,72950
9/9/2018,56988
10/9/2018,79179
11/9/2018,88013
12/9/2018,73528
13/9/2018,77145
14/9/2018,66614
15/9/2018,56505
16/9/2018,50128
17/9/2018,64325
18/9/2018,68692
19/9/2018,71498
20/9/2018,68598
21/9/2018,68987
22/9/2018,50512
23/9/2018,56152
24/9/2018,70468
25/9/2018,64054
26/9/2018,69501
27/9/2018,67876
28/9/2018,72233
29/9/2018,52292
30/9/2018,44532
1/10/2018,25830
2/10/2018,10099
3/10/2018,62166
4/10/2018,83869
5/10/2018,86759
6/10/2018,59515
7/10/2018,87863
8/10/2018,120741
9/10/2018,131815
10/10/2018,153341
11/10/2018,163758
12/10/2018,176175
13/10/2018,168644
14/10/2018,184018
15/10/2018,174639
16/10/2018,177647
17/10/2018,169915
18/10/2018,155078
19/10/2018,149940
20/10/2018,92549
21/10/2018,80661
22/10/2018,80458
23/10/2018,105987
24/10/2018,138476
25/10/2018,140264
26/10/2018,100213
27/10/2018,65391
28/10/2018,61406
29/10/2018,76625
30/10/2018,97815
31/10/2018,108695
1/11/2018,85861
2/11/2018,73794
3/11/2018,62830
4/11/2018,62538
5/11/2018,79117
6/11/2018,83775
7/11/2018,84770
8/11/2018,105849
9/11/2018,76395
10/11/2018,64975
11/11/2018,58481
12/11/2018,80567
13/11/2018,91368
14/11/2018,90488
15/11/2018,76911
16/11/2018,80870
17/11/2018,61170
18/11/2018,66269
19/11/2018,92083
20/11/2018,90130
21/11/2018,77632
22/11/2018,78076
23/11/2018,75398
24/11/2018,64116
25/11/2018,62559
26/11/2018,77084
27/11/2018,93864
28/11/2018,88667
29/11/2018,92368
30/11/2018,82645
1/12/2018,62373
2/12/2018,73710
3/12/2018,96254
4/12/2018,96984
5/12/2018,96559
6/12/2018,89751
7/12/2018,86705
8/12/2018,72606
9/12/2018,70190
10/12/2018,74469
11/12/2018,81153
12/12/2018,83163
13/12/2018,89445
14/12/2018,83384
15/12/2018,79467
16/12/2018,77869
17/12/2018,98436
18/12/2018,96231
19/12/2018,92070
20/12/2018,90449
21/12/2018,85083
22/12/2018,70392
23/12/2018,69765
24/12/2018,69618
25/12/2018,74671
26/12/2018,76754
27/12/2018,80703
28/12/2018,73629
29/12/2018,66282
30/12/2018,62826
31/12/2018,60481
1/1/2019,58508
2/1/2019,109708
3/1/2019,100710
4/1/2019,94514
5/1/2019,77897
6/1/2019,94108
7/1/2019,94715
8/1/2019,105928
9/1/2019,106576
10/1/2019,111328
11/1/2019,120991
12/1/2019,110775
13/1/2019,97243
14/1/2019,114139
15/1/2019,112172
16/1/2019,113433
17/1/2019,105912
18/1/2019,106513
19/1/2019,79858
20/1/2019,78679
21/1/2019,103240
22/1/2019,106126
23/1/2019,119710
24/1/2019,114541
25/1/2019,119836
26/1/2019,78342
27/1/2019,86596
28/1/2019,111784
29/1/2019,107881
30/1/2019,106844
31/1/2019,115145
1/2/2019,99156
2/2/2019,71654
3/2/2019,104287
4/2/2019,97713
5/2/2019,107855
6/2/2019,120854
7/2/2019,107973
8/2/2019,101730
9/2/2019,118356
10/2/2019,78137
11/2/2019,113240
12/2/2019,118410
13/2/2019,122283
14/2/2019,134772
15/2/2019,123318
16/2/2019,111750
17/2/2019,98067
18/2/2019,112632
19/2/2019,106237
20/2/2019,120747
21/2/2019,114251
22/2/2019,102341
23/2/2019,86657
24/2/2019,81696
25/2/2019,99292
26/2/2019,108135
27/2/2019,102492
28/2/2019,103079
1/3/2019,92662
2/3/2019,75072
3/3/2019,76810
4/3/2019,104991
5/3/2019,113300
6/3/2019,99434
7/3/2019,96024
8/3/2019,91932
9/3/2019,65607
10/3/2019,68218
11/3/2019,100407
12/3/2019,92674
13/3/2019,97029
14/3/2019,107248
15/3/2019,102519
16/3/2019,80095
17/3/2019,66368
18/3/2019,101569
19/3/2019,98515
20/3/2019,95566
21/3/2019,83454
22/3/2019,92856
23/3/2019,59222
24/3/2019,64835
25/3/2019,94751
26/3/2019,106366
27/3/2019,97418
28/3/2019,113353
29/3/2019,134753
30/3/2019,83480
31/3/2019,71121
1/4/2019,98719
2/4/2019,93282
3/4/2019,98107
4/4/2019,112045
5/4/2019,110418
6/4/2019,80815
7/4/2019,64028
8/4/2019,89370
9/4/2019,92505
10/4/2019,92153
11/4/2019,97584
12/4/2019,92058
13/4/2019,93224
14/4/2019,75554
15/4/2019,92015
16/4/2019,98066
17/4/2019,100099
18/4/2019,86821
19/4/2019,73030
20/4/2019,131100
21/4/2019,75644
22/4/2019,81984
23/4/2019,97791
24/4/2019,91681
25/4/2019,87451
26/4/2019,79416
27/4/2019,61038
28/4/2019,57724
29/4/2019,80832
30/4/2019,96499
1/5/2019,91566
2/5/2019,105923
3/5/2019,100673
4/5/2019,62282
5/5/2019,86542
6/5/2019,83274
7/5/2019,85039
8/5/2019,92181
9/5/2019,91506
10/5/2019,86823
11/5/2019,89641
12/5/2019,65338
13/5/2019,90475
14/5/2019,106162
15/5/2019,104193
16/5/2019,94579
17/5/2019,101725
18/5/2019,86865
19/5/2019,101164
20/5/2019,92125
21/5/2019,93848
22/5/2019,106702
23/5/2019,86054
24/5/2019,83585
25/5/2019,67210
26/5/2019,67965
27/5/2019,106559
28/5/2019,99094
29/5/2019,100021
30/5/2019,102705
31/5/2019,102818
1/6/2019,71713
2/6/2019,80399
3/6/2019,102453
4/6/2019,106321
5/6/2019,102191
6/6/2019,106048
7/6/2019,104623
8/6/2019,61504
9/6/2019,75791
10/6/2019,98910
11/6/2019,102190
12/6/2019,107613
13/6/2019,99938
14/6/2019,81671
15/6/2019,63355
16/6/2019,69442
17/6/2019,1173655
18/6/2019,1166225
19/6/2019,102231
20/6/2019,105359
21/6/2019,101275
22/6/2019,72492
23/6/2019,83188
24/6/2019,107207
25/6/2019,107039
26/6/2019,95900
27/6/2019,107290
28/6/2019,87190
29/6/2019,63622
30/6/2019,65243
1/7/2019,97699
2/7/2019,97183
3/7/2019,91528
4/7/2019,87225
5/7/2019,131213
6/7/2019,66995
7/7/2019,71811
8/7/2019,97352
9/7/2019,117078
10/7/2019,207841
11/7/2019,111793
12/7/2019,112038
13/7/2019,70150
14/7/2019,68169
15/7/2019,107960
16/7/2019,107007
17/7/2019,129677
18/7/2019,127187
19/7/2019,102631
20/7/2019,75436
21/7/2019,70848
22/7/2019,107960
23/7/2019,110464
24/7/2019,121716
25/7/2019,100948
26/7/2019,91195
27/7/2019,68741
28/7/2019,70696
29/7/2019,100947
30/7/2019,104442
31/7/2019,99008
1/8/2019,103424
2/8/2019,93270
3/8/2019,151671
4/8/2019,145731
5/8/2019,105386
6/8/2019,337325
7/8/2019,341595
8/8/2019,99495
9/8/2019,93534
10/8/2019,65534
11/8/2019,62891
12/8/2019,87424
13/8/2019,100304
14/8/2019,105699
15/8/2019,85475
16/8/2019,96934
17/8/2019,55069
18/8/2019,84197
19/8/2019,119860
20/8/2019,114539
21/8/2019,118384
22/8/2019,140928
23/8/2019,103203
24/8/2019,80988
25/8/2019,80635
26/8/2019,130151
27/8/2019,122564
28/8/2019,116142
29/8/2019,94855
30/8/2019,98117
31/8/2019,122398
1/9/2019,69977
2/9/2019,85331
3/9/2019,102896
4/9/2019,106868
5/9/2019,102307
6/9/2019,91461
7/9/2019,61628
8/9/2019,98955
9/9/2019,174212
10/9/2019,95371
11/9/2019,97140
12/9/2019,101739
13/9/2019,91749
14/9/2019,65897
15/9/2019,66924
16/9/2019,93719
17/9/2019,116171
18/9/2019,106662
19/9/2019,106773
20/9/2019,91165
21/9/2019,61998
22/9/2019,63127
23/9/2019,105193
24/9/2019,106773
25/9/2019,130091
26/9/2019,146917
27/9/2019,105245
28/9/2019,71045
29/9/2019,93493
30/9/2019,107238
1/10/2019,107202
2/10/2019,99416
3/10/2019,98737
4/10/2019,91873
5/10/2019,78400
6/10/2019,76252
7/10/2019,114746
8/10/2019,121411
9/10/2019,121069
10/10/2019,129971
11/10/2019,157475
12/10/2019,147056
13/10/2019,116148
14/10/2019,118108
15/10/2019,131170
16/10/2019,185784
17/10/2019,169663
18/10/2019,160650
19/10/2019,116900
20/10/2019,120460
21/10/2019,208036
22/10/2019,229870
23/10/2019,273708
24/10/2019,255178
25/10/2019,176921
26/10/2019,118564
27/10/2019,129458
28/10/2019,209661
29/10/2019,211967
30/10/2019,210925
31/10/2019,189965
1/11/2019,168513
2/11/2019,118347
3/11/2019,130118
4/11/2019,201791
5/11/2019,208234
6/11/2019,194616
7/11/2019,200462
8/11/2019,177588
9/11/2019,115642
10/11/2019,117717
11/11/2019,212058
12/11/2019,206488
13/11/2019,195023
14/11/2019,196477
15/11/2019,314101
16/11/2019,125634
17/11/2019,131639
18/11/2019,221181
19/11/2019,221555
20/11/2019,151733
21/11/2019,169121
22/11/2019,204015
23/11/2019,146658
24/11/2019,138875
25/11/2019,219608
26/11/2019,220590
27/11/2019,208223
28/11/2019,202049
29/11/2019,171584
30/11/2019,141161
1/12/2019,142918
2/12/2019,220144
3/12/2019,158549
